"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 18:28:52 IST 2024","Thu Jun 20 18:29:05 IST 2024","12286","","XYZ BankProject Suite","","XYZ BankProject Suite","Add a new customer as a bank manager","Add a new customer as a bank manager",""
"passed","Thu Jun 20 18:29:05 IST 2024","Thu Jun 20 18:29:14 IST 2024","9551","","XYZ BankProject Suite","","XYZ BankProject Suite","Customer Login Page","Customer Login Page",""
